vias M2_M1 73.145000 4.500000 73.525000 8.000000  R0 7 1
vias M2_M1 70.065000 4.500000 70.445000 8.000000  R0 7 1
vias M2_M1 0.430000 77.650000 80.370000 79.070000  R0 3 154
vias M2_M1 59.015000 17.405000 59.395000 18.305000  R0 2 1
vias M2_M1 82.170000 17.405000 82.550000 18.305000  R0 2 1
vias M2_M1 73.145000 11.380000 73.525000 12.280000  R0 2 1
vias M2_M1 50.205000 17.930000 50.585000 18.830000  R0 2 1
vias M2_M1 88.460000 64.510000 88.840000 65.410000  R0 2 1
vias M2_M1 88.460000 67.670000 88.840000 68.570000  R0 2 1
vias M2_M1 86.920000 64.510000 87.300000 65.410000  R0 2 1
vias M2_M1 86.920000 67.670000 87.300000 68.570000  R0 2 1
vias M2_M1 84.390000 17.665000 85.290000 18.045000  R0 1 2
vias M2_M1 83.140000 17.665000 84.040000 18.045000  R0 1 2
vias M2_M1 31.935000 19.740000 32.835000 20.120000  R0 1 2
vias M2_M1 56.275000 20.470000 57.175000 20.850000  R0 1 2
vias M2_M1 57.525000 20.470000 58.425000 20.850000  R0 1 2
vias M2_M1 81.835000 14.740000 82.735000 15.120000  R0 1 2
vias M2_M1 75.195000 14.740000 76.095000 15.120000  R0 1 2
vias M3_M2 75.195000 15.400000 76.095000 16.300000  R0 2 2
vias M3_M2 81.835000 15.400000 82.735000 16.300000  R0 2 2
vias M3_M2 84.390000 17.665000 85.290000 18.045000  R0 1 2
vias M3_M2 73.145000 17.665000 74.045000 18.045000  R0 1 2
vias M3_M2 31.935000 19.740000 32.835000 20.120000  R0 1 2
vias M3_M2 57.525000 20.470000 58.425000 20.850000  R0 1 2
vias M3_M2 81.835000 14.740000 82.735000 15.120000  R0 1 2
vias M3_M2 75.195000 14.740000 76.095000 15.120000  R0 1 2
vias M2_M1 28.395000 3.110000 94.815000 4.010000  R0 2 128
vias M3_M2 73.145000 11.380000 73.525000 12.280000  R0 2 1
vias M3_M2 86.920000 15.400000 87.300000 16.300000  R0 2 1
vias M3_M2 50.195000 20.475000 51.095000 20.855000  R90 2 1
vias M3_M2 50.205000 17.930000 50.585000 18.830000  R0 2 1
vias M3_M2 88.460000 64.510000 88.840000 65.410000  R0 2 1
vias M3_M2 88.460000 67.670000 88.840000 68.570000  R0 2 1
vias M3_M2 86.920000 64.510000 87.300000 65.410000  R0 2 1
vias M3_M2 86.920000 67.670000 87.300000 68.570000  R0 2 1
vias M2_M1 18.500000 47.420000 19.400000 49.360000  R0 4 2
vias M5_M4 57.525000 20.470000 58.425000 20.850000  R0 1 2
vias M4_M3 57.525000 20.470000 58.425000 20.850000  R0 1 2
vias M3_M2 66.110000 55.550000 68.050000 55.930000  R0 1 4
vias M2_M1 66.110000 55.550000 68.050000 55.930000  R0 1 4
vias M2_M1 82.650000 78.150000 94.470000 79.050000  R0 2 23
vias M4_M3 39.440000 58.170000 41.380000 60.110000  R0 4 4
